"demo.id","error","errorMessage","errorIn"
140,"B2","B not valid code in hdCt","otherHeads"
141,"B2","B not valid code in hdCt","otherHeads"
158,"B2","B not valid code in hdCt","otherHeads"
218,".s1","no periods allowed","otherHeads"
239,"1","hdCt must have associated code","otherHeads"
254,"V2","v not valid code","otherHeads"
363,"S.1","no periods allowed","otherHeads"
366,"S.2","no periods allowed","otherHeads"
372,"S.1","no periods allowed","otherHeads"
400,"1d","letter code must come before hdCt","otherHeads"
520,"1vd","letter code must come before hdCt","otherHeads"
812,"1","hdCt must have associated code","otherHeads"
821,"Vd.1","no periods allowed","otherHeads"
829,"Vd.2","no periods allowed","otherHeads"
859,"1 dud","no space allowed","otherHeads"
